quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
28	2.5	10	10	1/4	1/4	3/4	2	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
61/2	0.5	11	11	1/8	1/8	3/4	2	1	viio6	F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
31	0.5	11	11	1/4	1/4	3/4	2	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
63/2	0.5	11	11	3/8	3/8	3/4	2	1	viio6	F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
32	0.5	11	11	1/2	1/2	3/4	2	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
65/2	0.5	11	11	5/8	5/8	3/4	2	1	V6/ii	F	I		V6/ii	V		6		ii			M	0	0	7, 4, 3		3	7
33	0.5	12	12	0	0	3/4	2	1	ii(4)	F	I		ii(4)	ii			4				m	0	0	2, 1, 3		2	2
67/2	0.5	12	12	1/8	1/8	3/4	2	1	viio	F	I		viio	vii	o						o	0	0	5, 2, -1		5	5
34	1.0	12	12	1/4	1/4	3/4	2	1	I}	F	I		I	I						}	M	0	0	0, 4, 1		0	0
35	1.0	12	12	1/2	1/2	3/4	2	1	{	F	I									{		0	0				
36	1.0	13	13	0	0	3/4	2	1	V(64)	F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
37	2.0	13	13	1/4	1/4	3/4	2	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
39	0.5	14	14	0	0	3/4	2	1	V/V	F	I		V/V	V				V			M	0	0	2, 6, 3		2	2
79/2	1.5	14	14	1/8	1/8	3/4	2	1	V65	F	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
41	0.75	14	14	1/2	1/2	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
167/4	0.25	14	14	11/16	11/16	3/4	2	1	viio6	F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
42	0.75	15	15	0	0	3/4	2	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
171/4	0.25	15	15	3/16	3/16	3/4	2	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
43	1.0	15	15	1/4	1/4	3/4	2	1	V(64)	F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
44	1.0	15	15	1/2	1/2	3/4	2	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
45	1.0	16	16	0	0	3/4	2	1	I(94)}	F	I		I(94)	I			94			}	M	0	0	0, -1, 1	2	0	0
46	2.0	16	16	1/4	1/4	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
48	0.5	17	17	0	0	3/4	2	1	{	F	I									{		0	0				
97/2	0.5	17	17	1/8	1/8	3/4	2	1	viio6	F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
49	2.0	17	17	1/4	1/4	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
51	0.5	18	18	0	0	3/4	2	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
103/2	0.5	18	18	1/8	1/8	3/4	2	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
52	2.0	18	18	1/4	1/4	3/4	2	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
54	0.5	19	19	0	0	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
109/2	0.5	19	19	1/8	1/8	3/4	2	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
55	2.0	19	19	1/4	1/4	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
57	0.5	20	20	0	0	3/4	2	1	V64	F	I		V64	V		64					M	0	0	2, 1, 5		1	2
115/2	0.5	20	20	1/8	1/8	3/4	2	1	V65	F	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
58	1.0	20	20	1/4	1/4	3/4	2	1	I}	F	I		I	I						}	M	0	0	0, 4, 1		0	0
59	1.0	20	20	1/2	1/2	3/4	2	1	{	F	I									{		0	0				
60	1.0	21	21	0	0	3/4	2	1	V(64)	F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
61	0.5	21	21	1/4	1/4	3/4	2	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
123/2	0.5	21	21	3/8	3/8	3/4	2	1	V2	F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
62	0.5	21	21	1/2	1/2	3/4	2	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
125/2	0.5	21	21	5/8	5/8	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
63	1.0	22	22	0	0	3/4	2	1	V(4)/V	F	I		V(4)/V	V			4	V			M	0	0	2, 1, 3		2	2
64	0.5	22	22	1/4	1/4	3/4	2	1	V/V	F	I		V/V	V				V			M	0	0	2, 6, 3		2	2
129/2	0.5	22	22	3/8	3/8	3/4	2	1	iv64	F	I		iv64	iv		64					m	0	0	0, -1, -4		-1	0
65	0.5	22	22	1/2	1/2	3/4	2	1	V65	F	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
131/2	0.5	22	22	5/8	5/8	3/4	2	1	V2	F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
66	2.0	23	23	0	0	3/4	2	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
68	0.5	23	23	1/2	1/2	3/4	2	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
137/2	0.5	23	23	5/8	5/8	3/4	2	1	IV6	F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
69	1.0	24	24	0	0	3/4	2	1	V(64)}	F	I		V(64)	V			64			}	M	0	0	1, 0, 4		1	1
70	2.0	24	24	1/4	1/4	3/4	2	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
72	0.5	25	25	0	0	3/4	2	1	I{	F	I		I	I						{	M	0	0	0, 4, 1		0	0
145/2	0.5	25	25	1/8	1/8	3/4	2	1	viio6	F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
73	2.0	25	25	1/4	1/4	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
75	0.5	26	26	0	0	3/4	2	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
151/2	0.5	26	26	1/8	1/8	3/4	2	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
76	2.5	26	26	1/4	1/4	3/4	2	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
157/2	0.5	27	27	1/8	1/8	3/4	2	1	viio6	F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
